customer_id,customer_name,registration_date,preferred_zone,customer_segment
CUST00001,Customer_1,2024-11-23,JBR (Dubai),New
CUST00002,Customer_2,2024-05-20,Deira (Dubai),New
CUST00003,Customer_3,2024-02-22,Al Nahda (Sharjah),Premium
CUST00004,Customer_4,2024-10-06,JBR (Dubai),Regular
CUST00005,Customer_5,2024-01-17,Marina (Dubai),New
CUST00006,Customer_6,2024-04-29,Yas Island (Abu Dhabi),Regular
CUST00007,Customer_7,2024-10-14,Deira (Dubai),Premium
CUST00008,Customer_8,2024-12-25,Yas Island (Abu Dhabi),Regular
CUST00009,Customer_9,2024-08-17,Al Reem (Abu Dhabi),New
CUST00010,Customer_10,2024-01-04,Al Majaz (Sharjah),Premium
CUST00011,Customer_11,2024-12-23,Corniche (Abu Dhabi),Regular
CUST00012,Customer_12,2024-03-20,Deira (Dubai),VIP
CUST00013,Customer_13,2024-06-21,JBR (Dubai),New
CUST00014,Customer_14,2024-02-19,JLT (Dubai),Premium
CUST00015,Customer_15,2024-11-05,Business Bay (Dubai),Premium
CUST00016,Customer_16,2024-08-23,Yas Island (Abu Dhabi),New
CUST00017,Customer_17,2024-07-12,JBR (Dubai),Regular
CUST00018,Customer_18,2024-11-17,Al Reem (Abu Dhabi),Premium
CUST00019,Customer_19,2024-07-04,Al Reem (Abu Dhabi),New
CUST00020,Customer_20,2024-02-05,Marina (Dubai),Regular
CUST00021,Customer_21,2024-05-28,JBR (Dubai),Premium
CUST00022,Customer_22,2024-02-21,Corniche (Abu Dhabi),New
CUST00023,Customer_23,2024-11-21,Al Nuaimiya (Ajman),Regular
CUST00024,Customer_24,2024-07-08,JLT (Dubai),New
CUST00025,Customer_25,2024-05-16,Al Qasimia (Sharjah),VIP
CUST00026,Customer_26,2024-11-27,JBR (Dubai),Regular
CUST00027,Customer_27,2024-03-28,Yas Island (Abu Dhabi),Premium
CUST00028,Customer_28,2024-03-24,Khalidiya (Abu Dhabi),Regular
CUST00029,Customer_29,2024-11-23,Al Qasimia (Sharjah),Regular
CUST00030,Customer_30,2024-12-16,JLT (Dubai),Premium
CUST00031,Customer_31,2024-01-29,Deira (Dubai),Premium
CUST00032,Customer_32,2024-06-10,Corniche (Abu Dhabi),New
CUST00033,Customer_33,2024-04-18,Al Rashidiya (Ajman),VIP
CUST00034,Customer_34,2024-06-10,Deira (Dubai),Regular
CUST00035,Customer_35,2024-07-21,Al Rashidiya (Ajman),VIP
CUST00036,Customer_36,2024-08-22,Downtown (Dubai),New
CUST00037,Customer_37,2024-05-06,Al Qasimia (Sharjah),Regular
CUST00038,Customer_38,2024-05-14,Al Qasimia (Sharjah),Regular
CUST00039,Customer_39,2024-10-25,Corniche (Abu Dhabi),Regular
CUST00040,Customer_40,2024-03-11,Yas Island (Abu Dhabi),Regular
CUST00041,Customer_41,2024-01-25,Al Nuaimiya (Ajman),New
CUST00042,Customer_42,2024-11-17,Downtown (Dubai),Premium
CUST00043,Customer_43,2024-08-04,Al Reem (Abu Dhabi),New
CUST00044,Customer_44,2024-07-14,Al Reem (Abu Dhabi),VIP
CUST00045,Customer_45,2024-09-27,Business Bay (Dubai),VIP
CUST00046,Customer_46,2024-01-06,Al Nahda (Sharjah),Premium
CUST00047,Customer_47,2024-12-15,Al Rashidiya (Ajman),Regular
CUST00048,Customer_48,2024-05-16,Al Majaz (Sharjah),Regular
CUST00049,Customer_49,2024-02-27,Business Bay (Dubai),Regular
CUST00050,Customer_50,2024-08-20,Marina (Dubai),VIP
CUST00051,Customer_51,2024-05-14,Yas Island (Abu Dhabi),Premium
