event_id,order_id,restaurant_confirmed_time,food_ready_time,rider_picked_up_time,delivered_time,expected_delivery_time,is_on_time
EVT000001,ORD000001,2025-12-11 13:57:00,2025-12-11 14:28:00,2025-12-11 14:46:00,2025-12-11 15:13:00,2025-12-11 14:37:00,False
EVT000002,ORD000002,2025-12-30 11:06:00,2025-12-30 11:19:00,2025-12-30 11:28:00,2025-12-30 11:42:00,2025-12-30 11:50:00,True
EVT000003,ORD000003,2025-12-21 15:56:00,2025-12-21 16:22:00,2025-12-21 16:33:00,2025-12-21 16:53:00,2025-12-21 16:38:00,False
EVT000004,ORD000004,2025-11-07 17:37:00,2025-11-07 17:45:00,2025-11-07 18:02:00,2025-11-07 18:36:00,2025-11-07 18:21:00,False
EVT000005,ORD000005,2025-11-24 13:27:00,2025-11-24 13:56:00,2025-11-24 14:06:00,2025-11-24 14:16:00,2025-11-24 14:10:00,False
EVT000006,ORD000006,2025-10-24 13:57:00,2025-10-24 14:23:00,2025-10-24 14:43:00,2025-10-24 15:09:00,2025-10-24 14:41:00,False
EVT000007,ORD000007,2025-11-27 18:25:00,2025-11-27 19:05:00,2025-11-27 19:37:00,2025-11-27 19:47:00,2025-11-27 19:05:00,False
EVT000008,ORD000008,2025-11-21 22:35:00,2025-11-21 22:56:00,2025-11-21 23:28:00,,2025-11-21 23:19:00,
EVT000009,ORD000009,2025-11-28 20:08:00,2025-11-28 20:47:00,2025-11-28 21:20:00,2025-11-28 21:32:00,2025-11-28 20:50:00,False
EVT000010,ORD000010,2025-10-20 08:26:00,2025-10-20 08:55:00,2025-10-20 09:14:00,2025-10-20 09:35:00,2025-10-20 09:06:00,False
EVT000011,ORD000011,2025-10-28 18:19:00,2025-10-28 19:02:00,2025-10-28 19:18:00,,2025-10-28 19:01:00,
EVT000012,ORD000012,2025-12-29 00:12:00,2025-12-29 00:50:00,2025-12-29 01:03:00,,2025-12-29 00:55:00,
EVT000013,ORD000013,2025-10-26 17:04:00,2025-10-26 17:39:00,2025-10-26 17:47:00,2025-10-26 18:20:00,2025-10-26 17:48:00,False
EVT000014,ORD000014,2025-10-22 15:00:00,2025-10-22 15:18:00,2025-10-22 15:54:00,2025-10-22 16:12:00,2025-10-22 15:42:00,False
EVT000015,ORD000015,2025-10-26 15:44:00,2025-10-26 16:23:00,2025-10-26 16:31:00,,2025-10-26 16:28:00,
EVT000016,ORD000016,2025-11-21 16:14:00,2025-11-21 16:59:00,2025-11-21 17:11:00,2025-11-21 18:03:00,2025-11-21 16:54:00,False
EVT000017,ORD000017,2025-12-11 19:17:00,2025-12-11 19:45:00,2025-12-11 20:04:00,2025-12-11 20:20:00,2025-12-11 20:01:00,False
EVT000018,ORD000018,2025-11-05 18:41:00,2025-11-05 19:09:00,2025-11-05 19:18:00,2025-11-05 20:03:00,2025-11-05 19:22:00,False
EVT000019,ORD000019,2025-12-10 04:20:00,2025-12-10 04:31:00,2025-12-10 04:50:00,,2025-12-10 05:02:00,
EVT000020,ORD000020,2025-11-20 19:56:00,2025-11-20 20:29:00,2025-11-20 20:44:00,2025-11-20 21:01:00,2025-11-20 20:37:00,False
EVT000021,ORD000021,2025-10-16 20:19:00,2025-10-16 20:43:00,2025-10-16 21:02:00,2025-10-16 21:19:00,2025-10-16 21:03:00,False
EVT000022,ORD000022,2025-10-25 06:25:00,2025-10-25 07:07:00,2025-10-25 07:26:00,2025-10-25 07:54:00,2025-10-25 07:06:00,False
EVT000023,ORD000023,2025-11-19 13:01:00,2025-11-19 13:39:00,2025-11-19 13:56:00,2025-11-19 14:18:00,2025-11-19 13:41:00,False
EVT000024,ORD000024,2025-12-08 19:17:00,2025-12-08 20:20:00,2025-12-08 20:36:00,2025-12-08 20:47:00,2025-12-08 19:59:00,False
EVT000025,ORD000025,2025-10-08 15:44:00,2025-10-08 16:08:00,2025-10-08 16:16:00,2025-10-08 16:39:00,2025-10-08 16:28:00,False
EVT000026,ORD000026,2025-12-21 18:22:00,2025-12-21 18:52:00,2025-12-21 18:58:00,2025-12-21 19:14:00,2025-12-21 19:03:00,False
EVT000027,ORD000027,2025-11-24 15:27:00,2025-11-24 15:49:00,2025-11-24 16:13:00,2025-11-24 16:25:00,2025-11-24 16:09:00,False
EVT000028,ORD000028,2025-11-08 22:39:00,2025-11-08 23:26:00,2025-11-08 23:34:00,,2025-11-08 23:21:00,
EVT000029,ORD000029,2025-11-15 21:18:00,2025-11-15 22:12:00,2025-11-15 22:17:00,,2025-11-15 22:02:00,
EVT000030,ORD000030,2025-10-10 11:58:00,2025-10-10 12:19:00,2025-10-10 12:37:00,,2025-10-10 12:42:00,
EVT000031,ORD000031,2025-11-25 12:14:00,2025-11-25 12:39:00,2025-11-25 12:56:00,,2025-11-25 12:56:00,
EVT000032,ORD000032,2025-12-23 13:34:00,2025-12-23 14:06:00,2025-12-23 14:26:00,2025-12-23 15:02:00,2025-12-23 14:16:00,False
EVT000033,ORD000033,2025-11-22 08:27:00,2025-11-22 08:49:00,2025-11-22 09:07:00,2025-11-22 09:32:00,2025-11-22 09:10:00,False
EVT000034,ORD000034,2025-12-17 13:30:00,2025-12-17 13:36:00,2025-12-17 13:47:00,2025-12-17 14:13:00,2025-12-17 14:10:00,False
EVT000035,ORD000035,2025-11-19 19:49:00,2025-11-19 20:07:00,2025-11-19 20:12:00,2025-11-19 20:35:00,2025-11-19 20:31:00,False
EVT000036,ORD000036,2025-11-25 20:43:00,2025-11-25 20:52:00,2025-11-25 21:07:00,2025-11-25 21:29:00,2025-11-25 21:26:00,False
EVT000037,ORD000037,2025-12-23 20:28:00,2025-12-23 21:30:00,2025-12-23 21:48:00,2025-12-23 22:38:00,2025-12-23 21:12:00,False
EVT000038,ORD000038,2025-12-10 01:26:00,2025-12-10 02:11:00,2025-12-10 02:26:00,2025-12-10 02:51:00,2025-12-10 02:09:00,False
EVT000039,ORD000039,2025-12-16 19:34:00,2025-12-16 20:40:00,2025-12-16 21:03:00,2025-12-16 21:28:00,2025-12-16 20:14:00,False
EVT000040,ORD000040,2025-12-19 15:51:00,2025-12-19 16:11:00,2025-12-19 16:21:00,,2025-12-19 16:35:00,
EVT000041,ORD000041,2025-10-04 10:45:00,2025-10-04 10:50:00,2025-10-04 11:06:00,2025-10-04 11:36:00,2025-10-04 11:25:00,False
EVT000042,ORD000042,2025-12-08 15:38:00,2025-12-08 16:16:00,2025-12-08 16:35:00,2025-12-08 16:46:00,2025-12-08 16:22:00,False
EVT000043,ORD000043,2025-11-08 20:18:00,2025-11-08 20:40:00,2025-11-08 20:54:00,2025-11-08 21:24:00,2025-11-08 20:58:00,False
EVT000044,ORD000044,2025-12-10 13:05:00,2025-12-10 13:19:00,2025-12-10 13:53:00,2025-12-10 14:23:00,2025-12-10 13:45:00,False
EVT000045,ORD000045,2025-11-19 23:34:00,2025-11-20 00:05:00,2025-11-20 00:30:00,2025-11-20 01:00:00,2025-11-20 00:17:00,False
EVT000046,ORD000046,2025-10-09 17:11:00,2025-10-09 18:10:00,2025-10-09 18:29:00,2025-10-09 18:58:00,2025-10-09 17:55:00,False
EVT000047,ORD000047,2025-12-25 14:37:00,2025-12-25 15:09:00,2025-12-25 15:20:00,2025-12-25 15:38:00,2025-12-25 15:19:00,False
EVT000048,ORD000048,2025-11-15 11:21:00,2025-11-15 12:11:00,2025-11-15 12:30:00,2025-11-15 13:00:00,2025-11-15 12:05:00,False
EVT000049,ORD000049,2025-10-30 01:25:00,2025-10-30 02:19:00,2025-10-30 03:06:00,2025-10-30 03:28:00,2025-10-30 02:06:00,False
EVT000050,ORD000050,2025-12-19 17:09:00,2025-12-19 17:29:00,2025-12-19 17:44:00,2025-12-19 18:04:00,2025-12-19 17:49:00,False
EVT000051,ORD000051,2025-11-19 16:44:00,2025-11-19 17:22:00,2025-11-19 17:39:00,2025-11-19 18:14:00,2025-11-19 17:24:00,False
EVT000052,ORD000052,2025-10-25 15:58:00,2025-10-25 16:15:00,2025-10-25 16:21:00,2025-10-25 16:56:00,2025-10-25 16:38:00,False
EVT000053,ORD000053,2025-10-22 16:18:00,2025-10-22 17:04:00,2025-10-22 17:16:00,,2025-10-22 17:02:00,
EVT000054,ORD000054,2025-10-24 20:40:00,2025-10-24 20:55:00,2025-10-24 21:03:00,,2025-10-24 21:21:00,
EVT000055,ORD000055,2025-10-29 12:47:00,2025-10-29 13:12:00,2025-10-29 13:17:00,2025-10-29 13:44:00,2025-10-29 13:28:00,False
EVT000056,ORD000056,2025-11-02 16:56:00,2025-11-02 17:29:00,2025-11-02 17:40:00,,2025-11-02 17:39:00,
EVT000057,ORD000057,2025-10-23 18:32:00,2025-10-23 18:58:00,2025-10-23 19:18:00,2025-10-23 19:53:00,2025-10-23 19:13:00,False
EVT000058,ORD000058,2025-12-02 10:20:00,2025-12-02 10:29:00,2025-12-02 10:43:00,2025-12-02 11:24:00,2025-12-02 11:02:00,False
EVT000059,ORD000059,2025-12-07 21:57:00,2025-12-07 22:31:00,2025-12-07 22:44:00,2025-12-07 23:06:00,2025-12-07 22:37:00,False
EVT000060,ORD000060,2025-12-13 19:16:00,2025-12-13 19:53:00,2025-12-13 20:10:00,2025-12-13 20:49:00,2025-12-13 19:56:00,False
EVT000061,ORD000061,2025-10-07 05:22:00,2025-10-07 05:34:00,2025-10-07 05:49:00,2025-10-07 06:39:00,2025-10-07 06:05:00,False
EVT000062,ORD000062,2025-12-05 20:40:00,2025-12-05 21:32:00,2025-12-05 21:52:00,,2025-12-05 21:24:00,
EVT000063,ORD000063,2025-10-23 21:33:00,2025-10-23 21:57:00,2025-10-23 22:04:00,2025-10-23 22:26:00,2025-10-23 22:14:00,False
EVT000064,ORD000064,2025-11-21 19:43:00,2025-11-21 20:07:00,2025-11-21 20:21:00,2025-11-21 21:00:00,2025-11-21 20:25:00,False
EVT000065,ORD000065,2025-12-08 13:17:00,2025-12-08 13:51:00,2025-12-08 13:56:00,2025-12-08 14:19:00,2025-12-08 13:59:00,False
EVT000066,ORD000066,2025-11-27 23:39:00,2025-11-28 00:39:00,2025-11-28 00:55:00,2025-11-28 01:19:00,2025-11-28 00:19:00,False
EVT000067,ORD000067,2025-12-12 08:51:00,2025-12-12 09:20:00,2025-12-12 09:26:00,2025-12-12 10:03:00,2025-12-12 09:31:00,False
EVT000068,ORD000068,2025-11-25 16:31:00,2025-11-25 16:53:00,2025-11-25 17:26:00,2025-11-25 17:51:00,2025-11-25 17:12:00,False
EVT000069,ORD000069,2025-11-12 09:05:00,2025-11-12 09:21:00,2025-11-12 09:27:00,2025-11-12 09:56:00,2025-11-12 09:48:00,False
EVT000070,ORD000070,2025-11-22 13:32:00,2025-11-22 13:45:00,2025-11-22 13:54:00,2025-11-22 14:22:00,2025-11-22 14:12:00,False
EVT000071,ORD000071,2025-12-01 21:32:00,2025-12-01 21:37:00,2025-12-01 21:47:00,2025-12-01 22:20:00,2025-12-01 22:14:00,False
EVT000072,ORD000072,2025-10-20 19:49:00,2025-10-20 20:15:00,2025-10-20 20:28:00,,2025-10-20 20:32:00,
EVT000073,ORD000073,2025-10-02 19:58:00,2025-10-02 20:45:00,2025-10-02 20:59:00,2025-10-02 21:16:00,2025-10-02 20:41:00,False
EVT000074,ORD000074,2025-11-11 12:58:00,2025-11-11 13:21:00,2025-11-11 13:31:00,2025-11-11 13:53:00,2025-11-11 13:41:00,False
EVT000075,ORD000075,2025-12-03 21:53:00,2025-12-03 22:07:00,2025-12-03 22:18:00,2025-12-03 22:50:00,2025-12-03 22:35:00,False
EVT000076,ORD000076,2025-12-28 12:53:00,2025-12-28 13:40:00,2025-12-28 13:57:00,2025-12-28 14:20:00,2025-12-28 13:34:00,False
EVT000077,ORD000077,2025-11-18 04:28:00,2025-11-18 04:51:00,2025-11-18 05:03:00,2025-11-18 05:38:00,2025-11-18 05:11:00,False
