order_id,customer_id,restaurant_id,rider_id,order_time,zone,order_value,promo_code,discount_amount,delivery_fee,status,cancellation_reason
ORD000001,CUST01936,REST0086,RIDER0438,2025-12-11 13:52:00,Al Nuaimiya (Ajman),76.63,,,14.15,Delivered,
ORD000002,CUST02344,REST0002,RIDER0348,2025-12-30 11:05:00,Khalidiya (Abu Dhabi),56.23,FREESHIP,5.62,6.78,Delivered,
ORD000003,CUST04270,REST0132,RIDER0713,2025-12-21 15:53:00,Business Bay (Dubai),38.91,WEEKEND15,5.84,11.02,Delivered,
ORD000004,CUST01672,REST0045,RIDER0570,2025-11-07 17:36:00,JLT (Dubai),59.22,,,7.8,Delivered,
ORD000005,CUST04344,REST0013,RIDER0558,2025-11-24 13:25:00,Yas Island (Abu Dhabi),116.45,FREESHIP,11.64,12.23,Delivered,
ORD000006,CUST00447,REST0055,RIDER0586,2025-10-24 13:56:00,Al Majaz (Sharjah),48.79,WEEKEND15,7.32,5.79,Delivered,
ORD000007,CUST03867,REST0160,RIDER0771,2025-11-27 18:20:00,Corniche (Abu Dhabi),64.6,FLASH30,19.38,6.24,Delivered,
ORD000008,CUST04234,REST0022,RIDER0463,2025-11-21 22:34:00,JLT (Dubai),97.08,FREESHIP,9.71,11.73,Cancelled,Restaurant Unavailable
ORD000009,CUST00918,REST0089,RIDER0212,2025-11-28 20:05:00,Khalidiya (Abu Dhabi),65.15,,,10.48,Delivered,
ORD000010,CUST02121,REST0055,RIDER0346,2025-10-20 08:21:00,Al Majaz (Sharjah),72.6,FREESHIP,7.26,13.96,Delivered,
ORD000011,CUST00815,REST0145,RIDER0331,2025-10-28 18:16:00,Al Qasimia (Sharjah),111.26,,11.13,5.28,In Progress,
ORD000012,CUST03503,REST0198,RIDER0365,2025-12-29 00:10:00,JBR (Dubai),195.93,,,12.02,Cancelled,Customer Request
ORD000013,CUST02649,REST0179,RIDER0529,2025-10-26 17:03:00,Yas Island (Abu Dhabi),81.53,WEEKEND15,12.23,12.14,Delivered,
ORD000014,CUST03142,REST0136,RIDER0646,2025-10-22 14:57:00,JLT (Dubai),36.69,,,13.29,Delivered,
ORD000015,CUST01000,REST0189,RIDER0132,2025-10-26 15:43:00,Al Qasimia (Sharjah),54.17,NEW50,27.08,12.71,Cancelled,Long Wait Time
ORD000016,CUST01061,REST0097,RIDER0288,2025-11-21 16:09:00,Downtown (Dubai),113.79,,,10.19,Delivered,
ORD000017,CUST00221,REST0138,RIDER0573,2025-12-11 19:16:00,Yas Island (Abu Dhabi),50.05,WEEKEND15,7.51,7.87,Delivered,
ORD000018,CUST01590,REST0019,RIDER0575,2025-11-05 18:37:00,Al Nahda (Sharjah),44.44,FLASH30,13.33,8.94,Delivered,
ORD000019,CUST02783,REST0128,RIDER0022,2025-12-10 04:17:00,Business Bay (Dubai),57.53,WELCOME10,5.75,10.23,Cancelled,Address Issue
ORD000020,CUST04289,REST0142,RIDER0530,2025-11-20 19:52:00,Marina (Dubai),110.38,FREESHIP,11.04,5.04,Delivered,
ORD000021,CUST03324,REST0067,RIDER0606,2025-10-16 20:18:00,Khalidiya (Abu Dhabi),104.11,,,5.9,Delivered,
